time(ms),accel_x(m/s^2),accel_y(m/s^2),accel_z(m/s^2),gyro_x(rad/s),gyro_y(rad/s),gyro_z(rad/s),mag_x(uT),mag_y(uT),mag_z(uT),orientation_x(degrees),orientation_y(degrees),orientation_z(degrees)
1666,0.51,-4.89,8.05,-0.19,0.06,-0.12,-7.06,62.56,7.88,0.0,3.13,31.25
1685,0.51,-4.9,8.05,-0.06,-0.06,0.12,-5.88,63.38,7.06,0.0,3.13,31.25
1704,0.51,-4.9,8.06,0.06,0.0,0.06,-5.88,63.38,7.06,0.0,3.13,31.25
1725,0.5,-4.89,8.05,0.06,-0.19,0.06,-5.88,63.38,7.06,0.0,3.13,31.25
1744,0.5,-4.9,8.05,0.06,0.0,-0.06,-5.19,62.25,9.06,0.0,3.13,31.25
1763,0.52,-4.9,8.06,-0.06,-0.12,0.0,-5.19,62.25,9.06,0.0,3.13,31.25
1782,0.51,-4.91,8.06,0.12,-0.37,0.06,-5.19,62.25,9.06,0.0,3.13,31.25
1803,0.51,-4.89,8.07,0.12,-0.19,0.06,-6.25,62.25,8.69,0.0,3.13,31.25
1823,0.51,-4.88,8.05,0.06,-0.06,0.06,-6.25,62.25,8.69,0.0,3.13,31.25
1843,0.51,-4.9,8.09,0.12,-0.12,-0.19,-7.38,64.06,9.5,0.0,3.13,31.25
1863,0.52,-5.05,8.32,-0.25,0.0,0.0,-7.38,64.06,9.5,0.0,3.13,31.25
1883,0.52,-5.04,8.34,-0.12,0.12,0.12,-7.38,64.06,9.5,0.0,3.13,31.25
1903,0.53,-5.08,8.34,-0.06,0.12,0.06,-7.75,63.0,7.5,0.0,3.13,31.25
1924,0.54,-5.07,8.35,-0.06,0.06,0.12,-7.75,63.0,7.5,0.0,3.13,31.25
1944,0.5,-5.07,8.32,0.06,0.06,-0.06,-7.06,63.0,7.88,0.0,3.13,31.25
1965,0.52,-5.05,8.35,0.12,-0.25,0.06,-7.06,63.0,7.88,0.0,3.13,31.25
1983,0.52,-5.06,8.35,0.06,-0.25,-0.06,-6.69,63.38,7.88,0.0,3.13,31.25
2003,0.53,-5.08,8.32,-0.19,-0.06,0.0,-6.69,63.38,7.88,0.0,3.13,31.25
2024,0.52,-5.08,8.33,0.0,-0.12,-0.12,-6.69,63.38,7.88,0.0,3.13,31.25
2044,0.54,-5.06,8.36,0.12,-0.06,-0.12,-8.19,63.0,8.25,0.0,3.13,31.25
2064,0.55,-5.07,8.35,0.0,0.12,0.06,-8.19,63.0,8.25,0.0,3.13,31.25
2083,0.52,-5.07,8.37,-0.06,0.25,-0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2103,0.51,-5.07,8.36,-0.25,0.12,0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2123,0.53,-5.07,8.34,0.0,-0.19,0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2144,0.53,-5.07,8.33,-0.06,-0.06,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2163,0.53,-5.05,8.31,-0.31,0.12,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2182,0.52,-5.08,8.32,-0.12,0.19,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2203,0.54,-5.08,8.34,0.12,-0.31,-0.12,-5.56,63.75,7.5,0.0,3.13,31.25
2224,0.54,-5.06,8.34,0.06,-0.31,0.0,-5.56,63.75,7.5,0.0,3.13,31.25
2243,0.53,-5.07,8.34,-0.25,-0.19,0.06,-7.75,63.75,8.69,0.0,3.13,31.25
2264,0.51,-5.05,8.3,0.0,0.19,0.0,-7.75,63.75,8.69,0.0,3.13,31.25
2283,0.53,-5.07,8.35,0.12,-0.31,0.06,-8.56,62.56,6.69,0.0,3.13,31.25
2304,0.55,-5.05,8.36,0.25,-0.12,0.0,-8.56,62.56,6.69,0.0,3.13,31.25
2324,0.54,-5.06,8.37,-0.12,-0.06,0.06,-8.56,62.56,6.69,0.0,3.13,31.25
2344,0.52,-5.05,8.31,-0.19,0.0,0.06,-7.38,64.06,8.69,0.0,3.13,31.25
2364,0.52,-5.07,8.34,0.0,0.0,0.06,-7.38,64.06,8.69,0.0,3.13,31.25
2383,0.53,-5.06,8.34,-0.06,0.19,0.0,-7.06,63.75,7.88,0.0,3.13,31.25
2404,0.54,-5.07,8.36,-0.06,0.19,-0.06,-7.06,63.75,7.88,0.0,3.13,31.25
2423,0.53,-5.06,8.35,-0.06,0.0,0.0,-7.06,63.75,7.88,0.0,3.13,31.25
2444,0.52,-5.06,8.33,-0.06,0.19,0.0,-6.69,63.38,8.25,0.0,3.13,31.25
2463,0.53,-5.06,8.34,0.06,0.0,0.06,-6.69,63.38,8.25,0.0,3.13,31.25
2482,0.51,-5.07,8.33,0.0,0.0,0.06,-6.69,63.38,8.25,0.0,3.13,31.25
2501,0.53,-5.06,8.3,0.06,-0.06,0.06,-7.38,62.56,7.5,0.0,3.13,31.25
2523,0.56,-5.06,8.35,-0.06,0.0,0.0,-7.38,62.56,7.5,0.0,3.13,31.25
2543,0.53,-5.05,8.31,-0.25,0.19,0.12,-6.69,61.5,7.88,0.0,3.13,31.25
2564,0.51,-5.07,8.31,-0.06,0.44,0.0,-6.69,61.5,7.88,0.0,3.13,31.25
2583,0.53,-5.08,8.38,-0.19,-0.19,0.0,-7.38,61.06,7.88,0.0,3.13,31.25
2604,0.52,-5.07,8.33,-0.06,0.06,0.0,-7.38,61.06,7.88,0.0,3.13,31.25
2624,0.52,-5.06,8.33,0.06,0.12,-0.06,-7.38,61.06,7.88,0.0,3.13,31.25
2644,0.53,-5.06,8.34,-0.12,-0.12,0.06,-8.88,62.56,7.5,0.0,3.13,31.25
2664,0.54,-5.08,8.32,0.0,-0.12,0.0,-8.88,62.56,7.5,0.0,3.13,31.25
2683,0.51,-5.06,8.34,0.0,0.19,0.06,-5.88,63.0,8.69,0.0,3.13,31.25
2704,0.53,-5.05,8.34,0.0,0.06,0.25,-5.88,63.0,8.69,0.0,3.13,31.25
2724,0.54,-5.06,8.35,0.12,0.0,0.06,-5.88,63.0,8.69,0.0,3.13,31.25
2744,0.51,-5.05,8.34,0.19,-0.25,0.12,-5.88,62.25,8.25,0.0,3.13,31.25
2764,0.53,-5.05,8.37,-0.19,0.19,-0.12,-5.88,62.25,8.25,0.0,3.13,31.25
2783,0.52,-5.06,8.35,-0.12,0.25,0.06,-5.88,62.25,8.25,0.0,3.13,31.25
2803,0.51,-5.07,8.34,0.0,0.12,0.0,-7.06,61.88,7.06,0.0,3.13,31.25
2824,0.53,-5.07,8.35,-0.12,0.06,0.0,-7.06,61.88,7.06,0.0,3.13,31.25
2844,0.52,-5.05,8.35,0.06,0.0,0.19,-7.38,63.38,9.5,0.0,3.13,31.25
2865,0.53,-5.05,8.32,0.0,0.0,0.06,-7.38,63.38,9.5,0.0,3.13,31.25
2883,0.53,-5.07,8.34,-0.06,0.0,-0.06,-7.38,63.38,9.5,0.0,3.13,31.25
2904,0.51,-5.07,8.33,0.12,-0.37,0.0,-5.88,62.56,7.5,0.0,3.13,31.25
2924,0.54,-5.06,8.37,0.06,-0.25,-0.19,-5.88,62.56,7.5,0.0,3.13,31.25
2945,0.54,-5.04,8.33,-0.06,0.25,-0.19,-7.06,61.88,8.25,0.0,3.13,31.25
2964,0.53,-5.07,8.3,-0.06,0.0,-0.06,-7.06,61.88,8.25,0.0,3.13,31.25
2983,0.52,-5.07,8.34,0.25,-0.06,-0.19,-7.06,63.75,7.5,0.0,3.13,31.25
3004,0.54,-5.05,8.33,0.12,-0.31,0.0,-7.06,63.75,7.5,0.0,3.13,31.25
3024,0.53,-5.07,8.34,-0.19,0.0,0.0,-7.06,63.75,7.5,0.0,3.13,31.25
3044,0.5,-5.07,8.33,-0.19,0.31,-0.12,-6.69,63.75,7.88,0.0,3.13,31.25
3064,0.52,-5.04,8.32,-0.06,0.0,-0.06,-6.69,63.75,7.88,0.0,3.13,31.25
3083,0.54,-5.07,8.37,-0.12,0.12,-0.19,-6.69,63.75,7.88,0.0,3.13,31.25
3104,0.51,-5.06,8.31,-0.25,0.25,0.12,-6.25,62.25,8.69,0.0,3.13,31.25
3124,0.53,-5.08,8.33,-0.06,0.12,0.06,-6.25,62.25,8.69,0.0,3.13,31.25
3143,0.52,-5.1,8.35,0.19,-0.37,0.0,-5.88,62.56,7.88,0.0,3.13,31.25
3164,0.52,-5.05,8.33,0.25,-0.25,-0.06,-5.88,62.56,7.88,0.0,3.13,31.25
3183,0.52,-5.06,8.36,0.12,0.06,-0.06,-7.06,60.75,7.5,0.0,3.13,31.25
3204,0.5,-5.07,8.36,-0.25,0.31,-0.12,-7.06,60.75,7.5,0.0,3.13,31.25
3224,0.52,-5.07,8.31,-0.37,0.12,0.0,-7.06,60.75,7.5,0.0,3.13,31.25
3245,0.52,-5.08,8.36,-0.06,-0.19,-0.12,-8.88,63.38,9.06,0.0,3.13,31.25
3265,0.53,-5.06,8.33,-0.19,-0.12,-0.06,-8.88,63.38,9.06,0.0,3.13,31.25
3283,0.52,-5.06,8.33,-0.12,-0.06,-0.19,-6.25,61.88,7.88,0.0,3.13,31.25
3304,0.53,-5.06,8.36,0.06,0.06,-0.12,-6.25,61.88,7.88,0.0,3.13,31.25
3324,0.54,-5.07,8.36,0.12,-0.19,-0.06,-6.25,61.88,7.88,0.0,3.13,31.25
3345,0.54,-5.05,8.33,0.0,-0.12,-0.06,-6.25,61.88,9.06,0.0,3.13,31.25
3364,0.53,-5.07,8.34,0.19,-0.06,0.0,-6.25,61.88,9.06,0.0,3.13,31.25
3383,0.51,-5.06,8.33,0.0,-0.19,-0.06,-6.25,61.88,9.06,0.0,3.13,31.25
3404,0.53,-5.05,8.3,0.44,-0.31,0.06,-7.38,63.0,7.88,0.0,3.13,31.25
3424,0.51,-5.05,8.37,0.31,-0.5,0.06,-7.38,63.0,7.88,0.0,3.13,31.25
3443,0.53,-5.03,8.32,0.06,0.0,-0.12,-8.88,61.5,8.25,0.0,3.13,31.25
3464,0.55,-5.07,8.33,0.25,-0.12,-0.06,-8.88,61.5,8.25,0.0,3.13,31.25
3482,0.53,-5.06,8.4,0.0,0.19,0.0,-8.88,61.5,8.25,0.0,3.13,31.25
3504,0.53,-5.05,8.36,-0.5,0.44,0.06,-7.06,62.56,7.06,0.0,3.13,31.25
3524,0.54,-5.07,8.35,-0.63,0.37,0.12,-7.06,62.56,7.06,0.0,3.13,31.25
3545,0.54,-5.07,8.32,-0.56,0.37,0.0,-7.06,61.06,9.88,0.0,3.13,31.25
3565,0.53,-5.03,8.36,-0.69,0.56,-0.06,-7.06,61.06,9.88,0.0,3.13,31.25
3584,0.56,-5.21,8.3,-1.12,0.69,-0.12,-6.25,63.0,9.5,0.0,3.13,31.31
3604,0.44,-5.1,8.16,-0.63,0.88,0.12,-6.25,63.0,9.5,0.0,3.13,31.31
3624,0.52,-5.03,8.38,2.31,-2.19,-0.25,-6.25,63.0,9.5,0.0,3.13,31.31
3643,0.54,-5.08,8.3,2.38,-2.88,-0.25,-6.69,61.88,9.06,0.0,3.13,31.25
3663,0.57,-5.04,8.33,2.25,-2.13,0.0,-6.69,61.88,9.06,359.94,3.19,31.19
3681,0.54,-5.02,8.39,1.69,-1.12,0.06,-6.69,61.88,9.06,359.94,3.19,31.19
3699,0.51,-5.02,8.4,1.5,-1.44,0.06,-3.69,38.5,5.56,359.94,3.25,31.12
3716,0.59,-5.01,8.38,1.5,-1.44,-0.06,-3.69,38.5,5.56,359.94,3.25,31.12
3735,0.58,-5.02,8.45,0.25,-0.31,0.0,-3.69,38.0,4.69,359.94,3.25,31.12
3755,0.57,-5.01,8.38,-1.06,1.06,0.0,-3.69,38.0,4.69,359.94,3.25,31.12
3775,0.53,-5.01,8.34,-0.94,0.69,0.12,-3.69,38.0,4.69,359.94,3.25,31.12
3794,0.53,-5.03,8.35,-0.5,0.25,0.0,-3.69,38.38,4.69,359.94,3.25,31.12
3815,0.58,-5.05,8.36,-0.44,0.31,0.06,-3.69,38.38,4.69,359.94,3.25,31.12
3834,0.55,-5.06,8.35,-0.81,0.69,-0.06,-4.75,38.75,4.25,359.94,3.25,31.12
3854,0.53,-5.07,8.33,-1.06,1.0,0.0,-4.75,38.75,4.25,359.94,3.19,31.12
3874,0.52,-5.07,8.35,-0.75,0.94,0.06,-4.75,38.75,4.25,359.94,3.19,31.19
3894,0.52,-5.03,8.3,-0.63,0.69,0.0,-4.06,38.0,3.88,359.94,3.19,31.19
3914,0.52,-5.07,8.3,0.06,-0.06,-0.19,-4.06,38.0,3.88,359.94,3.19,31.19
3933,0.55,-5.07,8.38,0.31,-0.44,-0.06,-4.06,38.0,3.88,359.94,3.19,31.19
3953,0.56,-5.04,8.38,0.37,-0.31,-0.19,-4.06,37.69,4.25,359.94,3.19,31.19
3974,0.53,-5.06,8.3,0.25,-0.37,0.0,-4.06,37.69,4.25,359.94,3.19,31.19
3994,0.55,-5.05,8.37,0.81,-0.44,0.0,-4.5,38.75,3.88,359.94,3.19,31.19
4015,0.55,-5.02,8.36,1.0,-1.06,-0.12,-4.5,38.75,3.88,359.94,3.19,31.12
4034,0.54,-5.0,8.39,0.75,-0.69,-0.06,-4.5,38.38,4.25,359.94,3.19,31.12
4055,0.57,-5.05,8.39,-0.25,0.31,0.12,-4.5,38.38,4.25,359.94,3.25,31.12
4075,0.53,-5.04,8.36,-0.5,0.56,0.12,-4.5,38.38,4.25,359.94,3.25,31.12
4096,0.53,-5.05,8.31,-0.25,0.12,0.06,-4.75,36.88,5.06,359.94,3.25,31.12
4115,0.54,-5.07,8.32,-0.19,-0.12,0.12,-4.75,36.88,5.06,359.94,3.25,31.12
4133,0.54,-5.06,8.33,-0.19,0.06,0.06,-4.75,36.88,5.06,359.94,3.25,31.12
4154,0.56,-5.06,8.31,-0.25,0.19,0.06,-4.75,36.5,3.88,359.94,3.25,31.12
4174,0.53,-5.08,8.35,0.06,0.12,-0.06,-4.75,36.5,3.88,359.94,3.25,31.12
4194,0.54,-5.04,8.33,0.5,-0.44,-0.12,-6.0,38.38,5.06,359.94,3.25,31.12
4214,0.56,-5.05,8.34,0.88,-1.06,0.0,-6.0,38.38,5.06,359.94,3.25,31.12
4232,0.57,-5.02,8.37,0.5,-0.31,0.12,-6.0,38.38,5.06,359.94,3.25,31.12
4249,0.56,-4.99,8.38,-4.13,3.5,0.69,-5.19,39.19,4.69,359.94,3.19,31.19
4268,0.57,-5.07,7.82,-5.63,6.19,0.44,-5.19,39.19,4.69,0.0,3.06,31.25
4285,1.09,-4.96,8.98,-3.88,4.94,1.56,-3.19,39.0,5.19,0.0,3.06,31.31
4304,0.21,-5.07,8.69,-4.31,5.13,2.25,-3.19,39.0,5.19,0.0,2.94,31.37
4325,0.15,-5.24,8.12,-4.13,4.94,1.31,-3.19,39.0,5.19,0.0,2.88,31.44
4342,0.4,-5.09,8.06,-1.12,1.56,-0.88,-3.19,38.0,6.0,0.0,2.81,31.5
4359,0.52,-5.12,8.37,3.56,-4.63,-0.12,-3.19,38.0,6.0,0.0,2.88,31.44
4377,0.67,-5.08,8.53,4.44,-5.5,-0.69,-3.19,38.0,6.0,0.0,3.0,31.37
4396,0.48,-5.05,8.06,0.88,-1.37,-0.19,-3.69,36.88,5.19,359.94,3.0,31.31
4415,0.54,-5.09,8.15,-0.56,1.5,0.0,-3.69,36.88,5.19,359.94,3.0,31.31
4433,0.43,-5.1,8.37,0.88,0.75,0.0,-3.69,36.88,5.19,0.0,3.0,31.31
4451,0.46,-5.08,8.3,2.19,-2.75,-0.31,-5.56,37.69,5.19,359.94,3.0,31.31
4468,0.62,-5.03,8.34,3.25,-4.0,-0.44,-5.56,37.69,5.19,359.94,3.06,31.25
4485,0.64,-5.02,8.38,3.31,-3.63,-0.44,-4.38,38.5,5.19,359.94,3.13,31.19
4505,0.57,-5.03,8.5,0.75,-0.44,0.0,-4.38,38.5,5.19,359.94,3.13,31.12
4525,0.54,-5.02,8.33,-0.5,0.5,0.0,-4.38,38.5,5.19,359.94,3.13,31.12
4545,0.5,-5.04,8.32,-0.19,0.25,0.12,-3.56,38.0,4.75,359.94,3.13,31.12
4566,0.53,-5.07,8.34,0.12,-0.12,0.0,-3.56,38.0,4.75,359.94,3.13,31.12
4584,0.54,-5.05,8.35,0.12,-0.12,0.0,-4.69,37.25,4.38,359.94,3.13,31.12
4604,0.51,-5.05,8.37,0.06,0.19,0.06,-4.69,37.25,4.38,359.94,3.13,31.12
4625,0.52,-5.04,8.4,0.0,0.12,-0.12,-4.69,37.25,4.38,359.94,3.13,31.12
4645,0.52,-5.06,8.3,0.06,-0.37,0.19,-4.38,37.25,5.56,359.94,3.13,31.12
4665,0.54,-5.05,8.38,-0.06,0.06,-0.06,-4.38,37.25,5.56,359.94,3.13,31.12
4684,0.5,-5.07,8.35,-0.12,0.19,-0.06,-4.38,37.25,5.56,359.94,3.13,31.12
4704,0.55,-5.04,8.3,-0.06,0.12,-0.06,-4.38,37.25,5.56,359.94,3.13,31.12
4724,0.56,-5.07,8.33,0.31,-0.31,-0.06,-4.38,37.25,5.56,359.94,3.13,31.12
4745,0.55,-5.06,8.35,0.31,-0.19,0.0,-4.38,37.25,4.38,359.94,3.13,31.12
4764,0.56,-5.04,8.34,0.31,-0.25,0.0,-4.38,37.25,4.38,359.94,3.13,31.12
4784,0.54,-5.05,8.35,0.5,-0.5,0.0,-4.38,37.25,4.38,359.94,3.13,31.12
4804,0.52,-5.04,8.36,0.37,-0.63,0.06,-4.38,38.38,4.75,359.94,3.13,31.12
4825,0.55,-5.02,8.35,0.06,0.0,0.06,-4.38,38.38,4.75,359.94,3.13,31.12
4845,0.49,-5.01,8.4,-0.37,0.5,0.12,-3.56,38.0,4.0,359.94,3.13,31.12
4866,0.52,-5.02,8.34,-0.37,0.37,0.06,-3.56,38.0,4.0,359.94,3.13,31.12
4885,0.52,-5.04,8.32,-0.31,-0.06,0.0,-4.69,36.88,5.19,359.94,3.13,31.12
4905,0.55,-5.04,8.33,-0.44,0.06,-0.06,-4.69,36.88,5.19,359.94,3.13,31.12
4926,0.54,-5.07,8.34,-0.37,0.25,0.12,-4.69,36.88,5.19,359.94,3.13,31.12
4945,0.53,-5.07,8.29,0.12,-0.06,0.0,-5.5,36.88,5.19,359.94,3.13,31.12
4964,0.54,-5.06,8.33,0.37,-0.31,-0.06,-5.5,36.88,5.19,359.94,3.13,31.12
4983,0.57,-5.05,8.36,0.56,-0.56,-0.12,-5.5,36.88,5.19,359.94,3.13,31.12
5003,0.57,-5.04,8.32,0.37,-0.63,-0.06,-5.06,37.25,4.38,359.94,3.19,31.12
5023,0.57,-5.03,8.38,-0.12,0.06,0.06,-5.06,37.25,4.38,359.94,3.19,31.12
5043,0.52,-5.04,8.34,-0.25,0.25,0.0,-4.38,38.0,4.75,359.94,3.19,31.12
5064,0.54,-5.04,8.3,0.12,-0.19,-0.06,-4.38,38.0,4.75,359.94,3.19,31.12
5082,0.56,-5.04,8.37,-0.12,0.25,0.0,-4.38,38.0,4.75,359.94,3.19,31.12
5102,0.53,-5.04,8.36,-0.31,0.25,0.19,-4.0,36.88,4.38,359.94,3.19,31.12
5121,0.5,-5.05,8.34,-0.12,0.31,0.06,-4.0,36.88,4.38,359.94,3.19,31.12
5139,0.5,-5.07,8.32,0.0,0.19,0.06,-3.56,38.75,4.75,359.94,3.19,31.12
5157,0.54,-5.06,8.34,0.06,-0.25,0.12,-3.56,38.75,4.75,359.94,3.13,31.12
5176,0.54,-5.05,8.36,-0.19,0.25,0.06,-3.56,38.75,4.75,359.94,3.13,31.12
5195,0.55,-5.03,8.33,-0.19,0.37,-0.06,-3.19,38.38,5.56,359.94,3.13,31.12
5215,0.51,-5.05,8.32,0.12,0.0,0.06,-3.19,38.38,5.56,359.94,3.13,31.12
5234,0.52,-5.08,8.35,0.12,0.0,0.06,-4.38,38.38,3.56,359.94,3.13,31.12
5254,0.55,-5.04,8.34,0.25,-0.19,-0.06,-4.38,38.38,3.56,359.94,3.13,31.12
5275,0.56,-5.04,8.35,0.25,-0.12,0.0,-4.38,38.38,3.56,359.94,3.13,31.12
5295,0.56,-5.06,8.35,-0.06,-0.06,0.12,-4.38,38.38,5.56,359.94,3.13,31.12
5315,0.55,-5.07,8.32,0.0,0.12,0.06,-4.38,38.38,5.56,359.94,3.13,31.12
5335,0.53,-5.07,8.37,0.0,0.0,0.0,-4.38,36.88,4.0,359.94,3.19,31.12
5354,0.53,-5.04,8.31,0.19,0.0,-0.06,-4.38,36.88,4.0,359.94,3.19,31.12
5374,0.54,-5.06,8.37,0.12,-0.12,0.06,-4.38,36.88,4.0,359.94,3.13,31.12
5395,0.53,-5.05,8.34,0.0,0.19,0.0,-4.38,36.5,5.19,359.94,3.13,31.12
5415,0.52,-5.05,8.33,-0.12,-0.19,0.0,-4.38,36.5,5.19,359.94,3.13,31.12
5434,0.53,-5.05,8.34,-0.12,0.06,-0.12,-4.38,36.5,5.19,359.94,3.13,31.12
5454,0.55,-5.05,8.38,-0.12,0.0,0.0,-6.19,37.25,4.0,359.94,3.13,31.12
5475,0.55,-5.06,8.32,0.12,-0.06,-0.06,-6.19,37.25,4.0,359.94,3.13,31.12
5495,1.34,-5.24,11.24,-9.38,7.94,0.94,-4.0,36.06,5.19,359.94,3.13,31.12
5515,0.32,-5.37,7.99,-15.94,11.44,1.0,-4.0,36.06,5.19,359.94,3.0,31.37
5533,0.37,-5.0,8.0,-15.88,17.37,0.94,-4.0,36.06,5.19,0.06,2.69,31.69
5554,0.42,-5.14,8.47,-12.88,14.69,0.94,-3.56,38.75,4.0,0.12,2.44,31.94
