Roll,Pitch,Yaw
-0.164431,-0.23535,180.272
-0.172026,-0.216841,180.284
-0.185503,-0.205179,180.269
-0.20207,-0.198066,180.255
-0.220635,-0.195596,180.243
-0.20159,-0.198406,180.231
-0.181922,-0.195278,180.242
-0.20205,-0.191135,180.251
-0.22227,-0.190916,180.242
-0.202263,-0.193015,180.231
-0.182115,-0.195352,180.22
-0.200839,-0.190476,180.231
-0.180608,-0.193287,180.22
-0.2003,-0.189151,180.229
-0.220158,-0.185872,180.238
-0.239355,-0.183263,180.248
-0.258504,-0.186155,180.238
-0.238328,-0.185812,180.227
-0.257302,-0.189431,180.217
-0.236488,-0.185934,180.225
-0.215496,-0.184904,180.216
-0.234938,-0.189065,180.207
-0.214793,-0.187529,180.195
-0.19406,-0.189138,180.185
-0.176337,-0.196584,180.173
-0.170529,-0.211719,180.157
-0.189537,-0.213397,180.167
-0.209508,-0.21217,180.176
-0.18865,-0.209142,180.184
-0.208519,-0.205256,180.192
-0.227567,-0.201102,180.203
-0.207341,-0.202579,180.192
-0.22702,-0.204624,180.184
-0.207162,-0.19845,180.194
-0.225069,-0.204893,180.184
-0.24349,-0.208854,180.196
-0.261371,-0.215437,180.186
-0.280278,-0.217925,180.177
-0.299073,-0.210981,180.187
-0.317463,-0.204061,180.178
-0.298259,-0.211561,180.169
-0.277865,-0.216087,180.16
-0.297357,-0.213343,180.152
-0.278403,-0.220485,180.142
-0.2616,-0.230162,180.154
-0.250114,-0.246442,180.144
-0.243262,-0.264925,180.135
-0.240489,-0.284458,180.125
-0.238574,-0.264782,180.137
-0.232618,-0.246738,180.126
-0.240389,-0.264967,180.116
-0.229425,-0.24979,180.104
-0.240305,-0.266219,180.094
-0.227722,-0.253454,180.081
-0.24107,-0.267118,180.094
-0.23009,-0.254015,180.08
-0.241071,-0.26897,180.094
-0.254395,-0.28283,180.106
-0.24131,-0.27123,180.093
-0.25351,-0.286043,180.08
-0.238579,-0.278496,180.066
-0.255384,-0.280765,180.08
-0.237642,-0.287539,180.067
-0.254465,-0.280897,180.054
-0.237041,-0.291989,180.043
-0.219336,-0.301892,180.054
-0.202444,-0.313638,180.043
-0.221968,-0.311382,180.033
-0.241696,-0.311314,180.022
-0.222148,-0.316865,180.011
-0.242005,-0.315442,180.021
-0.262053,-0.315955,180.011
-0.2818,-0.315633,180.021
-0.301779,-0.315485,180.031
-0.281645,-0.319566,180.021
-0.261939,-0.324905,180.01
-0.242133,-0.32936,180.02
-0.261939,-0.327934,180.029
-0.281567,-0.326776,180.038
-0.301634,-0.327697,180.028
-0.281512,-0.330896,180.017
-0.261382,-0.331812,180.025
-0.281264,-0.334995,180.014
-0.261447,-0.336735,180.023
-0.263319,-0.321559,180.036
-0.245229,-0.317988,180.024
-0.225814,-0.319081,180.012
-0.206744,-0.319313,180.021
-0.226935,-0.318533,180.031
-0.207817,-0.319909,180.041
-0.228394,-0.320274,180.031
-0.208901,-0.322799,180.021
-0.189883,-0.32392,180.011
-0.171158,-0.321654,180.022
-0.152688,-0.318252,180.034
-0.173036,-0.319815,180.045
-0.193388,-0.31832,180.057
-0.174519,-0.323711,180.048
-0.194349,-0.31895,180.039
-0.175963,-0.323465,180.05
-0.156905,-0.327333,180.041
-0.138148,-0.326929,180.052
-0.119694,-0.330045,180.042
-0.101056,-0.334837,180.033
-0.121162,-0.329661,180.023
-0.106469,-0.341196,180.012
-0.0932613,-0.35508,180.003
-0.0837108,-0.371693,179.994
-0.0879183,-0.351685,179.983
-0.0913825,-0.369758,179.995
-0.0941574,-0.387377,180.006
-0.0912613,-0.368257,179.993
-0.10125,-0.382754,180.006
-0.0981881,-0.362221,180.016
-0.101612,-0.380323,180.006
-0.10949,-0.396196,180.017
-0.10701,-0.375126,180.028
-0.115524,-0.391989,180.018
-0.107894,-0.372988,180.006
-0.0928134,-0.358619,179.996
-0.110321,-0.368245,179.987
-0.0907394,-0.360868,179.995
-0.111089,-0.361586,179.986
-0.0904773,-0.361111,179.995
-0.109811,-0.356509,180.006
-0.129161,-0.352922,180.016
-0.108312,-0.35004,180.025
-0.0875062,-0.34568,180.034
-0.106111,-0.348895,180.024
-0.12548,-0.351143,180.015
-0.144861,-0.353075,180.006
-0.164525,-0.351493,180.015
-0.184146,-0.352677,180.006
-0.20337,-0.351681,180.016
-0.183198,-0.348935,180.005
-0.203167,-0.347131,180.014
-0.22236,-0.348698,180.004
-0.202093,-0.347727,179.993
-0.221408,-0.344936,180.003
-0.241303,-0.341966,180.013
-0.221034,-0.339397,180.023
-0.240945,-0.338641,180.013
-0.220198,-0.339569,180.004
-0.23922,-0.334678,180.014
