time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1700006866680696600,115.69169653320313,-1.3248359677864476,0.5210129700558535,0.4540503904454987,2.9419935044247647,0.4513689108394892,0.5644908318590475,1.3858856579888426
1700006866690641700,115.7016416015625,-1.3129266448940564,0.5186767751796577,0.4551137966877662,2.939752734255779,0.44862494779236817,0.5679625393287381,1.3826779493655355
1700006866700586500,115.71158642578125,-1.3000988946606713,0.5158713460914768,0.4566961123093787,2.9376600185660715,0.44582038644728045,0.5714450397212175,1.3803792540991804
1700006866710531600,115.72153149414062,-1.287101965519654,0.5126201935859003,0.4588418485188028,2.9365838329109555,0.4428605809908167,0.5749428469392558,1.378951912161929
1700006866720476700,115.7314765625,-1.2741422226475505,0.5089173614955197,0.4615593486660223,2.936900443616922,0.43964918518215335,0.5785106471708196,1.3782711446652767
1700006866730421500,115.74142138671876,-1.260964599218645,0.5047842231698039,0.46479676205157056,2.9381805779926635,0.43624243961342674,0.5821078266055209,1.3783551309472586
1700006866740366600,115.75136669921875,-1.2469568392008368,0.5003335950559219,0.4683492127133699,2.939245624958557,0.43280958515911455,0.5856545184479004,1.3790871974036312
1700006866750311700,115.76131176757812,-1.2316521181142697,0.49574068615816413,0.4719291433481619,2.938989603059032,0.42949177562709817,0.5891186758250269,1.3801271703424938
1700006866760256500,115.77125659179687,-1.215004808840077,0.4910998120041189,0.4754183960520892,2.9370480851529934,0.4263591411061976,0.5924662624634982,1.3813492449628124
1700006866770201600,115.78120166015626,-1.1970598014438263,0.4864420266973244,0.4787795471708576,2.9334290707507114,0.42340024914892255,0.5957150948910924,1.3826453319961431
1700006866780146700,115.79114672851563,-1.1779619874233052,0.481784750649409,0.48199858846156984,2.9283086850653968,0.420580167680975,0.5988932088677442,1.3839211211352866
1700006866790091500,115.80109155273438,-1.157799675228847,0.4771049286466269,0.4851289192123945,2.9218546289302796,0.4178857491788418,0.601990371618735,1.3852552513989773
1700006866800036600,115.81103662109375,-1.1367055673452562,0.47239616793195016,0.488195286961126,2.914269371948992,0.4152886032163932,0.6050145484445305,1.386644915625032
1700006866809981700,115.82098168945312,-1.114975963503825,0.4676567846046563,0.4912446367888634,2.905900448553892,0.4127666261703981,0.6079468865410917,1.3881557461460436
1700006866819926500,115.83092651367187,-1.0925764865794818,0.46287558748093455,0.49430234946358115,2.896735770240005,0.41032134057609715,0.6107764811710183,1.3898396126395087
1700006866829871600,115.84087158203126,-1.069555679758258,0.4580705174853299,0.49738063620900086,2.8867452608609603,0.4079834660482273,0.6134602984070171,1.3917666258809238
1700006866839816400,115.85081640625,-1.0458342117988157,0.4532190893433718,0.5005250084714422,2.875903557584835,0.40575004574247187,0.6159821730265502,1.3940233246835478
1700006866849761500,115.86076147460938,-1.0215747938226092,0.4482985885421619,0.5037847697522965,2.8645191444854126,0.40356308670778746,0.6183575327135264,1.3966322669090865
1700006866859706600,115.87070654296875,-0.996983670477524,0.44328904129816427,0.5072066736542561,2.852944536501726,0.40136032787844816,0.6206013417268175,1.399611094593495
1700006866869651500,115.8806513671875,-0.9722484572433969,0.4381822534289743,0.5108182278497336,2.8414662328100184,0.3990919029673949,0.6227252890056905,1.4029619211631277
1700006866879596800,115.8905966796875,-0.9475835608895558,0.43299155147584567,0.5145963103673569,2.8303567296034258,0.3967053012226646,0.6247671029588591,1.406573926990091
