time,seconds_elapsed,z,y,x
1700006899681867000,148.69286694335938,-95.63330078125,7.8468475341796875,15.098342895507812
1700006899691780000,148.7027800292969,-96.03790283203125,7.6103363037109375,15.171493530273438
1700006899701692200,148.71269213867188,-96.13899230957031,7.7622833251953125,15.302932739257812
1700006899711603200,148.7226032714844,-96.16593933105469,7.7353363037109375,14.885482788085938
1700006899721515300,148.73251538085938,-96.37686157226562,7.93731689453125,14.81304931640625
1700006899731427000,148.74242700195313,-97.06369018554688,7.6934661865234375,15.00006103515625
1700006899741339100,148.75233911132813,-96.57505798339844,7.423370361328125,14.73028564453125
1700006899751251000,148.7622509765625,-96.61985778808594,7.60467529296875,14.559112548828125
1700006899761163000,148.7721630859375,-97.0382080078125,7.6427459716796875,14.752044677734375
1700006899771076000,148.782076171875,-97.13258361816406,7.52740478515625,14.612991333007812
1700006899780989200,148.7919892578125,-96.88046264648438,7.59857177734375,14.945510864257812
1700006899790900000,148.80189990234376,-97.32049560546875,7.7162628173828125,14.52227783203125
1700006899800812000,148.81181201171876,-96.61175537109375,7.70465087890625,14.722686767578125
1700006899810723000,148.82172314453126,-96.83726501464844,7.71893310546875,14.5528564453125
1700006899820635100,148.83163525390626,-96.79893493652344,7.75848388671875,14.356887817382812
1700006899830546200,148.84154614257812,-96.79740905761719,7.8095703125,14.169464111328125
1700006899840457200,148.85145727539063,-96.16053771972656,7.35015869140625,13.970535278320312
1700006899850370000,148.8613701171875,-96.10519409179688,7.67156982421875,14.374679565429688
1700006899860283100,148.871283203125,-95.8245849609375,7.489654541015625,13.853469848632812
1700006899870195200,148.8811953125,-96.03370666503906,7.50433349609375,14.062347412109375
1700006899880107300,148.89110717773437,-95.6956787109375,7.412811279296875,14.3116455078125
1700006899890018000,148.90101806640624,-95.41326904296875,7.121368408203125,14.07275390625
1700006899899930000,148.91093017578126,-94.56150817871094,7.2989501953125,14.082107543945312
1700006899909842000,148.92084204101562,-94.85829162597656,6.9654388427734375,13.931900024414062
1700006899919753000,148.9307529296875,-94.430908203125,7.2515411376953125,14.034317016601562
1700006899929665000,148.9406650390625,-94.13551330566406,7.2998504638671875,14.60980224609375
1700006899939577000,148.9505771484375,-93.46348571777344,7.186004638671875,14.108062744140625
1700006899949489200,148.9604892578125,-93.64883422851562,7.0451812744140625,14.313385009765625
1700006899959401200,148.97040112304688,-93.77476501464844,7.2719879150390625,13.999893188476562
1700006899969313000,148.98031298828124,-93.58694458007812,7.333099365234375,14.131134033203125
1700006899979226000,148.99022607421875,-93.1732177734375,7.2456207275390625,14.344314575195312
1700006899989138200,149.00013818359375,-93.37240600585938,7.2665863037109375,14.2923583984375
1700006899999050200,149.01005029296874,-92.94674682617188,7.290069580078125,14.332931518554688
1700006900008962000,149.01996215820313,-92.37983703613281,7.299957275390625,14.336044311523438
1700006900018874000,149.0298740234375,-92.08551025390625,7.3986358642578125,14.367691040039062
1700006900028786200,149.0397861328125,-92.45840454101562,7.2213592529296875,14.6197509765625
1700006900038699300,149.04969921875,-91.95654296875,6.9769134521484375,14.972549438476562
1700006900048611000,149.05961108398438,-92.1236572265625,7.09912109375,15.033126831054688
1700006900058524200,149.06952416992186,-91.47142028808594,6.583984375,14.751632690429688
1700006900068437000,149.07943701171874,-91.67454528808594,6.8387908935546875,14.929733276367188
1700006900078350000,149.08935009765625,-91.54806518554688,6.82373046875,14.956802368164062
1700006900088261000,149.09926123046876,-91.47332763671875,6.525146484375,15.25555419921875
1700006900098171000,149.1091708984375,-91.76773071289062,6.844482421875,15.298599243164062
1700006900108082200,149.11908227539064,-91.71699523925781,6.5511932373046875,15.509506225585938
1700006900117993200,149.1289931640625,-91.4661865234375,6.596954345703125,15.745315551757812
1700006900127905000,149.13890502929686,-91.26470947265625,6.519500732421875,16.035995483398438
1700006900137817000,149.1488171386719,-91.424072265625,6.544952392578125,16.158035278320312
1700006900147729200,149.15872924804688,-91.46359252929688,6.6068572998046875,16.131881713867188
1700006900157642200,149.16864233398437,-91.87200927734375,6.3312835693359375,16.370498657226562
1700006900167556400,149.17855639648437,-91.99882507324219,6.137908935546875,16.950714111328125
1700006900177468400,149.18846850585936,-92.17179870605469,6.1985931396484375,17.391143798828125
1700006900187380200,149.1983801269531,-91.84100341796875,5.9643096923828125,17.530670166015625
1700006900197292300,149.20829223632813,-91.49270629882812,5.5599517822265625,17.75732421875
1700006900207204400,149.21820434570313,-91.33671569824219,5.785980224609375,17.849563598632812
1700006900217116200,149.2281162109375,-91.02174377441406,5.574981689453125,18.15802001953125
1700006900227028200,149.2380283203125,-90.68353271484375,5.526092529296875,18.32421875
1700006900236939300,149.24793920898438,-90.46546936035156,5.261383056640625,18.592453002929688
1700006900246850300,149.25785034179688,-90.03913879394531,5.5067138671875,18.63861083984375
1700006900256761300,149.26776123046875,-90.11746215820312,5.3087615966796875,18.848846435546875
1700006900266672000,149.27767211914062,-90.00178527832031,5.1816558837890625,19.436141967773438
1700006900276584200,149.2875842285156,-89.55278015136719,5.237274169921875,19.650726318359375
1700006900286496300,149.29749633789064,-89.66365051269531,4.96234130859375,19.57342529296875
1700006900296408000,149.30740795898438,-89.58250427246094,5.01141357421875,19.880599975585938
1700006900306320100,149.31732006835938,-89.41482543945312,4.962799072265625,20.060501098632812
1700006900316232200,149.32723217773437,-88.93708801269531,5.167755126953125,20.06292724609375
1700006900326145300,149.33714526367189,-89.01820373535156,4.981475830078125,20.3402099609375
1700006900336057000,149.34705712890624,-88.41972351074219,4.8358612060546875,20.164474487304688
1700006900345969200,149.35696923828124,-88.55967712402344,5.0322265625,20.399703979492188
1700006900355880200,149.36688012695313,-88.18649291992188,4.96307373046875,20.341018676757812
1700006900365792300,149.37679223632813,-87.98568725585938,4.9299468994140625,20.73760986328125
1700006900375705300,149.3867053222656,-88.0648193359375,4.944244384765625,20.805587768554688
1700006900385617200,149.3966171875,-87.98580932617188,5.0353851318359375,20.738845825195312
1700006900395528200,149.40652807617187,-87.50885009765625,5.0854949951171875,20.756805419921875
1700006900405440300,149.41644018554686,-87.27439880371094,4.705169677734375,20.611846923828125
1700006900415354400,149.42635424804686,-87.60951232910156,5.131378173828125,21.259521484375
1700006900425266200,149.43626611328125,-87.07821655273438,4.7956390380859375,21.327117919921875
1700006900435179300,149.44617919921876,-87.34597778320312,4.973480224609375,21.393875122070312
1700006900445093000,149.45609301757813,-87.05740356445312,4.80657958984375,21.703277587890625
1700006900455006200,149.46600610351564,-86.76458740234375,4.5257415771484375,21.16680908203125
1700006900464920300,149.47592041015625,-86.4801025390625,4.8823699951171875,21.895538330078125
