time,seconds_elapsed,relativeAltitude,pressure
1700006817217265200,66.22826513671875,10.215208053588867,1014.5539093017578
1700006818293254100,67.30425415039062,10.215208053588867,1014.5539093017578
1700006819369334300,68.38033422851562,10.215208053588867,1014.5537567138672
1700006820445333200,69.45633325195313,10.246915817260742,1014.5503997802734
1700006821521295400,70.53229541015625,10.33675479888916,1014.5391845703125
1700006822597237000,71.60823706054687,10.495294570922852,1014.520263671875
1700006823673144300,72.68414428710938,10.701395034790039,1014.495849609375
1700006824749061000,73.76006103515626,10.960342407226562,1014.4642639160156
1700006825825015300,74.83601538085938,11.277420997619629,1014.4265747070312
1700006826900981200,75.91198120117187,11.583930015563965,1014.3897247314453
1700006827976918300,76.98791821289062,11.864015579223633,1014.35546875
1700006829052894200,78.06389428710938,12.154670715332031,1014.3208312988281
1700006830128876300,79.13987622070313,12.360772132873535,1014.2958068847656
1700006831204915200,80.21591528320313,12.540450096130371,1014.2745208740234
1700006832280945400,81.2919453125,12.704273223876953,1014.2549896240234
1700006833356936200,82.36793627929687,12.878666877746582,1014.2339324951172
1700006834432934400,83.44393432617187,13.074197769165039,1014.2099761962891
1700006835508976000,84.51997607421875,13.327860832214355,1014.1800689697266
1700006836585031200,85.59603125,13.618515968322754,1014.1450500488281
1700006837661056300,86.67205615234376,13.919740676879883,1014.1086578369141
1700006838737060400,87.74806030273437,14.205110549926758,1014.0746307373047
1700006839813113000,88.82411303710937,14.490482330322266,1014.0398406982422
