time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700006783999980000,33.01097998046875,56.97970010433346,2.1578485395228966,167.14588954155215,43.256791189202694,93.38969995174557,111.02002404219095,4.832990438182488,3.2352342198402684,-79.9001035750539,0.6273376855998548
1700006784999979000,34.01097900390625,56.9848047606647,1.972649581187611,-1,43.25680035991283,93.39480460807681,-1,4.977571322933789,3.206711775415032,-79.90008927578675,0.6038089378136022
1700006785999978500,35.010978515625,56.9306233106181,2.1117284551798865,-1,43.25680515054212,93.34062315803021,-1,5.486415102613996,3.1686683245508616,-79.90009608664872,0.1871425693364037
1700006786999977200,36.01097729492187,56.947084351442754,1.6502966401481312,-1,43.25681894261207,93.35708419885486,-1,5.337170638573908,3.2023604504720153,-79.9000759158875,0.24394672348548435
1700006787999977500,37.0109775390625,56.81459983903915,1.5231831231656918,-1,43.25682637454819,93.22459968645126,-1,5.1352951877162445,3.2068168275613567,-79.90008611467218,0.36062639481316483
1700006788999976200,38.01097607421875,57.06850130390376,1.4096119461706005,-1,43.2568231188161,93.47850115131587,-1,4.905110423477448,3.2219186407423983,-79.9000624068158,0.35808725678230197
1700006789999975700,39.0109755859375,57.11948114819825,1.3663504054318751,-1,43.25682809807277,93.52948099561036,-1,4.831395428329293,3.237615673286076,-79.9000515217676,0.3530150724390083
1700006790999974700,40.010974609375,57.36590291559696,1.6580343930751014,-1,43.25683329957095,93.77590276300907,-1,4.840516227378118,3.23312170666912,-79.90006538611865,0.462564131047438
1700006791999974100,41.01097412109375,57.45575229637325,1.1795155747145096,-1,43.25683873340643,93.86575214378536,-1,4.895293632492184,3.2361220586703734,-79.90006581253498,0.21735122115299652
1700006792999974100,42.01097412109375,57.91584057081491,2.0611145938264355,154.85369635193925,43.256842846139165,94.32584041822702,290.12720271844853,4.831686176207313,3.237181756935497,-79.90008616732005,0.5970129102514328
1700006793999973400,43.01097338867187,58.032354093156755,0.6577266805063552,-1,43.25684597490324,94.44235394056886,-1,4.825313533217175,3.2466731185846256,-79.90010347194928,0.24995008386367956
1700006794999973400,44.01097338867187,58.23696784488857,0.9429179336277337,-1,43.25685392031613,94.64696769230068,-1,4.813345726992735,3.2643896742315563,-79.90010249075112,0.3141911958232916
1700006795999972900,45.01097290039063,58.443986176513135,0.307972206397111,-1,43.25685683138621,94.85398602392524,-1,4.812201644602621,3.266075988778073,-79.90010414288072,0.20592494617544516
1700006796999971800,46.01097192382812,58.73307662829757,0.3226140955192263,-1,43.25685670469595,95.14307647570968,-1,4.806345859565433,3.274687238657617,-79.9001050097229,0.22997101667214404
1700006797999971600,47.0109716796875,58.34641826059669,1.392449545774721,-1,43.25685745900675,94.7564181080088,-1,4.809788131672949,3.269629208519962,-79.90009637020566,0.1859490257537059
1700006798999970800,48.010970703125,58.34949355106801,1.9797863609431599,180,43.25685143239224,94.75949339848012,98.28432346626222,4.764255548113707,3.335626793431273,-79.90009638774825,0.28820827146838696
1700006799999970600,49.010970458984374,58.252650883980095,2.0028634808394896,180,43.25684504132039,94.6626507313922,98.28432484088795,4.766101702482727,3.3329883879755857,-79.90009563576436,0.36245993829446077
1700006800999970000,50.01096997070312,58.43783150240779,2.059260443415572,180,43.25684257098637,94.8478313498199,98.28432402846363,4.7634662948736075,3.336753795291457,-79.90009734822107,0.29962629600509594
1700006801999970000,51.01096997070312,58.55126155912876,1.9982116077935679,180,43.2568378044548,94.96126140654087,98.28432741862161,4.764337780757063,3.3355093379631993,-79.90009326198816,0.21744094940143222
1700006802999969500,52.01096948242188,58.72792311478406,2.010103354774789,180,43.25683752885871,95.13792296219617,98.2843257703107,4.763125591023196,3.3372401227554436,-79.90009577503908,0.21595976532180686
1700006803999969000,53.010968994140626,58.52120419032872,1.5128517626522864,180,43.25683154559047,94.93120403774083,98.2843254981835,4.761144793986175,3.3400654609583897,-79.90009739507838,0.05572097235638374
1700006804999969500,54.01096948242188,58.94284694455564,2.0646893275051488,180,43.25682463153112,95.35284679196775,98.28432430031594,4.754139601823292,3.3500289072132357,-79.90010058402342,0.30760389027532636
1700006805999968300,55.01096826171875,58.82783318962902,1.9886527726426106,180,43.25682018523961,95.23783303704113,98.2843237000981,4.74973294684372,3.356273821733875,-79.90010238119412,0.3039607006287739
1700006806999968500,56.010968505859374,59.26783828623593,2.004594420550269,180,43.256814839021224,95.67783813364804,103.18079632191261,4.751237220024146,3.3541439909231774,-79.90010353671282,0.6172786126807599
1700006807999967700,57.0109677734375,58.82313031330705,1.7928498291914243,180,43.25681423815223,95.23313016071916,116.79981904235515,4.750110520848184,3.355739422618542,-79.90011293642968,0.24329937343283364
1700006808999968000,58.01096801757812,58.99006387218833,1.8841713537114977,180,43.256806983575075,95.40006371960044,116.7998148873621,4.752289088819693,3.352653493738076,-79.90011418100626,0.4092684743768076
1700006809999967000,59.010967041015626,58.71449183207005,1.8689145156405773,180,43.25680594092146,95.12449167948216,116.79980534922656,4.7591371739652875,3.342925424260992,-79.90012496877104,0.19341001954641673
1700006810999967700,60.0109677734375,58.737084726803005,2.058273811644756,180,43.256796650613985,95.14708457421511,116.79980231817612,4.769444905378707,3.328202567054165,-79.9001238455282,0.41197519881301226
1700006811999967000,61.010967041015626,58.50677413120866,2.061701164007242,180,43.25679655023905,94.91677397862077,116.7998026340722,4.75380754966719,3.3505000840943224,-79.90012341970888,0.42556895347170487
1700006812999967200,62.01096728515625,58.229700930416584,2.0550066116911863,180,43.25680005896718,94.6397007778287,116.79980287580463,4.7717652723437975,3.3248749177138315,-79.90012491541219,0.2865850170921572
